Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
PBP,2485,0,0.00,0,0.00,23.24,2485,0
YETH,2420,2,54.00,25,48.10,53.65,2420,0
BUFY,2349,0,0.00,0,0.00,19.20,2349,0
TTAI,2319,0,0.00,0,0.00,29.86,2319,0
BUFS,2265,0,0.00,0,0.00,22.12,2265,0
IGE,2229,2,47.82,0,0.00,47.29,2229,0
IETC,2219,15,100.00,49,79.00,82.36,2219,0
BUFZ,2135,0,0.00,0,0.00,23.99,2135,0
IBMQ,2108,0,0.00,0,0.00,25.42,2108,0
PAPR,2038,0,0.00,10,35.70,36.92,2038,0
FDEM,2036,0,0.00,0,0.00,25.71,2036,0
GOOX,2026,400,30.10,62,29.57,29.87,2026,0
RSSB,2023,0,0.00,0,0.00,24.76,1723,300
BUFB,1999,0,0.00,0,0.00,32.62,1999,0
MEAR,1986,0,0.00,0,0.00,50.28,1986,0
XEMD,1974,0,0.00,0,0.00,42.36,1974,0
HEGD,1964,0,0.00,0,0.00,22.92,1964,0
DDLS,1948,0,0.00,0,0.00,34.88,1938,10
VEGN,1917,0,0.00,54,51.00,55.00,1917,0
FCLD,1907,0,0.00,10,29.00,29.14,870,1037
BBIN,1893,6,70.00,0,0.00,59.41,1893,0
NUMG,1890,0,0.00,0,0.00,50.80,1273,617
NUEM,1875,0,0.00,0,0.00,29.73,1875,0
IGRO,1808,0,0.00,11,69.72,71.19,1808,0
NUDM,1808,3,34.68,1,29.00,32.01,1808,0
FFLG,1799,0,0.00,0,0.00,25.39,1760,39
CAOS,1796,0,0.00,66,86.93,87.18,1796,0
IBMM,1788,4,26.14,0,0.00,26.12,1788,0
DJUN,1770,0,0.00,0,0.00,43.71,1770,0
NFLP,1752,0,0.00,1,33.00,34.00,1752,0
IBHI,1748,0,0.00,1,23.70,23.85,1748,0
XSHQ,1731,0,0.00,0,0.00,47.02,1731,0
DINT,1714,0,0.00,0,0.00,23.54,1714,0
NUMV,1702,0,0.00,0,0.00,38.29,1702,0
SECT,1692,0,0.00,0,0.00,56.63,1692,0
EYLD,1684,0,0.00,0,0.00,32.73,1684,0
HYXU,1655,0,0.00,0,0.00,50.32,1655,0
VFMF,1654,0,0.00,1,140.03,140.84,1654,0
QPFF,1606,0,0.00,0,0.00,37.82,1606,0
DDWM,1604,0,0.00,0,0.00,34.67,1604,0
FMAG,1601,0,0.00,1,31.60,32.88,1601,0
DOGG,1581,0,0.00,0,0.00,20.19,1581,0
BJUL,1577,0,0.00,0,0.00,45.25,1577,0
AAPX,1575,61,35.61,59,35.01,34.65,1575,0
FYLD,1556,0,0.00,0,0.00,26.28,1556,0
